NWA 2465 - H4 - 2D (µm),NWA 2465 - H4 - 3D - µ-CT (µm),Saratov - L4 - 2D (µm),Saratov - L4 - 3D (µm),NWA 7545 - LL4 - 2D (µm),NWA 7545 - LL4 - 3D (µm),NWA 2465 - H4 - 3D (µm)
632,,,810,,,779
632,,,819,,,782
633,,,822,,,784
633,,,823,,,787
634,,,823,,,789
637,,,824,,,794
640,,,824,,,799
645,,,824,,,809
645,,,825,,,813
646,,,828,,,822
646,,,829,,,823
649,,,833,,,826
653,,,835,,,827
654,,,836,,,830
656,,,839,,,833
656,,,839,,,840
658,,,842,,,845
659,,,843,,,848
660,,,844,,,852
663,,,844,,,853
672,,,849,,,858
675,,,851,,,859
680,,,853,,,870
682,,,853,,,877
682,,,854,,,882
684,,,862,,,892
684,,,863,,,892
687,,,877,,,892
688,,,878,,,901
690,,,882,,,901
695,,,885,,,916
697,,,886,,,938
701,,,889,,,939
701,,,890,,,952
701,,,894,,,953
703,,,895,,,962
709,,,896,,,974
713,,,897,,,978
713,,,900,,,978
713,,,900,,,985
720,,,902,,,996
720,,,909,,,1003
721,,,913,,,1004
723,,,916,,,1013
724,,,918,,,1029
725,,,920,,,1058
728,,,922,,,1061
733,,,924,,,1082
735,,,926,,,1083
739,,,926,,,1094
739,,,928,,,1097
739,,,930,,,1108
746,,,930,,,1122
755,,,930,,,1131
756,,,935,,,1145
757,,,935,,,1147
761,,,937,,,1156
761,,,939,,,1204
775,,,951,,,1204
782,,,953,,,1215
783,,,953,,,1280
785,,,965,,,1387
789,,,965,,,1399
793,,,965,,,1464
794,,,973,,,1362
796,,,975,,,1435
816,,,975,,,1470
825,,,975,,,1500
827,,,977,,,1533
834,,,980,,,1587
840,,,982,,,1604
846,,,984,,,1625
848,,,991,,,1626
853,,,1003,,,1657
854,,,1008,,,1752
855,,,1009,,,1777
856,,,1009,,,1842
857,,,1021,,,1854
860,,,1022,,,1876
863,,,1023,,,2084
871,,,1025,,,2120
872,,,1025,,,2134
873,,,1029,,,2144
876,,,1029,,,2336
883,,,1035,,,
885,,,1035,,,
892,,,1035,,,
897,,,1050,,,
929,,,1052,,,
932,,,1054,,,
937,,,1056,,,
938,,,1057,,,
944,,,1059,,,
949,,,1060,,,
953,,,1063,,,
956,,,1068,,,
956,,,1071,,,
971,,,1078,,,
976,,,1080,,,
977,,,1105,,,
979,,,1109,,,
999,,,1110,,,
1005,,,1118,,,
1008,,,1119,,,
1021,,,1124,,,
1031,,,1137,,,
1040,,,1149,,,
1049,,,1150,,,
1069,,,1153,,,
1076,,,1153,,,
1081,,,1155,,,
1087,,,1157,,,
1138,,,1163,,,
1148,,,1168,,,
1154,,,1169,,,
1184,,,1169,,,
1212,,,1183,,,
1244,,,1184,,,
1251,,,1187,,,
1296,,,1188,,,
1332,,,1193,,,
1511,,,1196,,,
1532,,,1197,,,
1574,,,1199,,,
1604,,,1202,,,
1608,,,1214,,,
1979,,,1215,,,
2140,,,1219,,,
2512,,,1221,,,
2679,,,1230,,,
5399,,,1242,,,
,,,1245,,,
,,,1257,,,
,,,1259,,,
,,,1261,,,
,,,1272,,,
,,,1272,,,
,,,1273,,,
,,,1281,,,
,,,1287,,,
,,,1306,,,
,,,1311,,,
